TIEMPO,CALIDAD,TEMPERATURA,PRESION ,ALTITUD,HUMEDAD
419,106,25,840.2,1552.06,15.45
420,109,25,840.26,1551.46,15.44
421,106,25.01,840.37,1550.45,15.46
428,109,24.97,840.24,1551.68,15.46
436,109,24.92,840.15,1552.57,15.46
445,110,24.88,840.35,1550.64,15.48
453,111,24.81,840.08,1553.25,15.5
465,119,24.7,840.21,1551.95,15.55
471,121,24.68,840.21,1552,15.6
479,123,24.63,840.17,1552.44,15.67
488,116,24.56,840.17,1552.39,15.61
496,109,24.51,840.06,1553.37,15.68
505,109,24.45,839.94,1554.59,15.63
513,113,24.42,839.81,1555.88,15.61
522,121,24.38,839.68,1557.09,15.57
530,129,24.38,839.51,1558.78,15.72
539,137,24.36,839.31,1560.67,15.61
548,150,24.37,839.13,1562.41,15.5
556,159,24.36,839.11,1562.66,15.34
565,161,24.35,839.07,1563.05,15.17
573,156,24.33,839.01,1563.64,15.13
582,147,24.29,838.95,1564.2,15.15
